TAHUN,QGING,JUMTONG,MGING,PPGING,PPJAM,PPLUR,POGING,POPMAS,INKAP,DGING,STGING,IHK,NIKAR
1990,157000,402104,4000,4912.76,2513.8,1659.48,3098828,32504000,796679.2,161000,63873,21.48,1589
1991,172000,383891,6000,6083.75,2887.49,1809.96,3163018,31938571,958210.4,178000,71314,23.81,1982
1992,183000,396863,3000,6482.09,3114.78,1918.56,3237923,32119771,1085599.19,186000,87545,25.79,2029
1993,211000,415383,3000,6822.66,3445.23,2155.32,3268753,32285454,1325991.76,214000,79025,29.32,2086
1994,204000,420256,5000,7810.97,3945.68,2388.84,3335710,33938200,1532117.82,209000,76917,30.87,2159
1995,190000,435679,7000,9613.8,4544.35,2719.08,3410725,33844000,1757002.18,197000,76787,33.89,2244
1996,210000,437796,16000,10088.64,4891.68,2878.08,3430479,34206900,2023480.76,226000,66705,36.22,2327
1997,214000,463436,23000,17000,5182.01,3093.96,3500800,34524600,2308159.01,237000,56209,38.52,2890
1998,208000,419575,9000,16374.5,9399.09,5613.12,3347700,34842100,3514419.85,217000,64577,63.29,10210
1999,188000,409592,11000,26443.15,14063.38,8376.84,3538000,35160100,3851369.51,199000,63047,77.74,7848
2000,187995,421506,14541,23404.26,13377.65,7123.2,3451100,34456897,5171960.42,202537,66804,79.43,8403
2001,187993,429125,18145,26251.67,16187.41,7413.72,3486200,34956581,5912048.46,206138,65136,89.44,10256
2002,187991,368264,21814,30745.56,18055.84,7940.28,3443300,35148579,6697348.32,209805,63497,100,9318
2003,187992,370939,25548,30441.98,15244.3,7813.08,3444800,36199078,7478628.81,213540,61887,105.8,8572
2004,187994,401950,29348,30029.29,15123.18,7924.92,2651800,36396345,9142414.82,217343,58485,111.7,8940
2005,187998,382470,33217,34772.64,16472.53,8201.76,2658476,37070731,10754273.31,221215,62666,123.1,9713
2006,188004,413171,37155,39434.12,17649,8534.64,2719541,37478737,12477325.82,225159,59259,138.81,9167
2007,188012,419003,41163,42804,14832,8420,2785100,37794003,14105246.78,229175,73410,147.19,9140
2008,188021,494202,45244,46328,17505,11365,3384902,37094836,16304840.71,233265,78069,192.95,9757
2009,188032,512504,49398,54015,19573,12931.17,3558948,37286246,18350366.32,237430,79091,195.25,8950
