TAHUN,AJAG,QJAG,DJAG,STJG,PPJ,PKJ,XJAG,MJAG,ERI,PBR,POPI,INP,PPU,UTK,IHKI,PMJ
1985,2440,4330,3089.509,3942,132.25,164.26,3.542,49.863,2567,318,167135154,477284,92.53,6554,12.45,144.014600004011
1986,3143,5920,3005.643,4198,147.62,179.77,4.433,57.369,3119,343,169584644,604688,118.78,6708,13.6,109.484216214332
1987,2626,5156,2566.076,4454,164.32,224.05,4.68,220.998,4159,383,171472000,727914,132.25,6863,14.86,112.602828984878
1988,3406,6652,2761.138,4709,189.89,250.29,37.454,63.454,4431,466,174767000,813110,147.62,7017,16.06,129.652976959687
1989,2944,6193,2617.389,4965,212.2,264.63,232.093,33.34,4721,493,178007000,939203,173.97,7172,17.09,137.882423515297
1990,3158,6734,3804.687,5287,233.17,289.8,136.641,0.515,2304,519,178633239,1097812,201.86,7270,18.42,421.359223300971
1991,2909,6256,3514.205,5206,257.07,317.72,30.742,323.176,1768,558,181786329,1253971,228.12,7497,20.16,141.368789761616
1992,3629,7995,4006.561,6390,264.31,324.49,136.523,55.498,1919,604,184916848,1408657,248.59,7730,21.67,138.509495837688
1993,2940,6460,3362.659,5412,286.04,350.73,52.008,494.446,2110,592,188019278,1609997,271.7,7773,23.77,136.71867099744
1994,3109,6869,3294.584,6321,325.37,414.6,34.091,1109.253,2200,660,191085673,2004551,294.57,7904,25.8,136.907450329186
1995,3652,8246,5890.178,6400,367.74,498.46,74.88,969.145,2308,776,194112556,2345879,333.1,8349,28.23,157.622440398496
1996,3744,9307,6419.123,6901,427.86,528.25,26.83,616.942,2383,885,197097887,2706042,389.48,8521,30.48,215.396260912695
1997,3355,8771,6114.902,7250,459.53,560.17,18.957,1098.354,4650,1064,200050444,3141037,444.1,8788,32.38,156.302066546851
1998,3848,10169,5221.514,8401,632.26,1089.16,632.515,313.463,8025,2099,202990922,4760843,572.56,7545,51.28,152.611312977927
1999,3456,9204,4820.013,8554,1045.37,1381.54,96.647,618.06,7100,2666,205946831,5421911,1088.4,8585,61.79,129.955020548167
2000,3500,9667,5891.195,9615,1028.65,1466,28.066,1264.575,9595,2424,208938698,6145065,1352.81,10519,64.09,124.902832967598
2001,3286,9347,1907.896,7841,1138.52,1746.58,90.474,1035.797,10400,2537,211970371,7841309,1442.63,10705,71.46,121.174322767878
2002,3109,9585,2784.951,7130,1212.1,2001.95,16.306,1154.063,8940,2826,215038285,8546508,1533.47,11494,79.95,119.561930327894
2003,3359,10886,2943.79,8065,1255.21,1737.63,33.691,1345.452,8465,2786,218145617,9304089,1591.82,12371,85.22,125.35415607543
2004,3357,11225,3039.182,8114,1366.81,1699.66,32.679,1088.928,9290,2851,221293797,10447921,1621.74,13339,90.54,163.165057744865
2005,3626,12524,3149.746,8633,1543.24,1895.66,54.009,185.597,9900,3479,224480901,12435035,1664.35,15693,100,166.220359165288
2006,3346,11609,7955.881,4493,1802.02,2163.54,28.074,1775.321,9020,4197,227709821,14741638,1782.54,18299,113.11,156.30863376257
2007,3630,13288,3624.54,9603,2238.43,2630.93,101.459,701.953,9419,5031,230972808,17179216,1855.23,20372,120.36,215.987395167483
2008,4002,16317,3532.549,11964,2501.47,3572.75,107.001,264.665,10950,5288,234243489,21013539,1940.96,21437,132.12,330.209887971587
2009,4161,17630,3992.274,12506,2744.74,3951.88,75.283,338.798,9400,5705,237486894,23647683,2042.21,21954,138.48,229.756374004569
2010,4132,18328,4843.621,13337,2933.9,4615.81,41.954,1527.516,8991,6755,240676485,26786768,2143.47,22238,145.59,241.619073057173
2011,3865,17643,326168,14855,3106.93,4885,12.472,3207.657,9068,7379,243801639,30424352,2225.53,23098,153.4,320.647438301539
2012,3958,19387,4720.191,14367,4093.42,5501,39.817,1805.392,9334,7198,246864191,31300948.7876676,2316.42,22597,132.9,297.447313381249
2013,3822,18512,4852.494,14783,3485.54,5727,11.418,3194.419,10399,8409,248800000,32790167.6045016,2407.3,23304,142.18,288.591759565668
2014,3837,19008,5378.562,14029,3670.42,5786,37.889,3175.362,11818,8922,252164800,33978238.041154,2498.19,23650,113.42,249.383534853664
